codigo,codigo_padre,descripcion,fecha_desde,impuestos_cliente,impuestos_proveedor
01190.10.1,1190.1,"MIJO EN GRANO SECO, SIN MOLER",,,
1190.11,1190,"ALFORFON EN GRANO SECO, SIN MOLER",2008-01-25,,
01190.11.1,1190.11,"ALFORFON EN GRANO SECO, SIN MOLER",,,
1190.12,1190,"ALPISTE EN GRANO SECO, SIN MOLER",2008-01-25,,
01190.12.1,1190.12,"ALPISTE EN GRANO SECO, SIN MOLER",,,
1190.19,1190,"OTROS CEREALES EN GRANO SECO, SIN MOLER: QUINUA, ETC",2008-01-25,,
01190.19.1,1190.19,COMPOSICIONES ALIMENTICIAS INFANTIL  A BASE DE CEREALES,2008-10-17,,
1190.2,1190.19,ALIMENTO FORTIFICADO PARA EL ADULTO MAYOR,2009-03-11,,
12,1,LEGUMBRES Y TUBERCULOS,2008-01-23,,
121,12,PAPAS (PATATAS),2008-01-25,,
1210,121,PAPAS (PATATAS),2008-01-25,,
1210,1210,"PATATAS (PAPAS), FRESCAS O REFRIGERADAS (NO INCLUIDAS LAS BATATAS)",2008-01-25,,
01210.00.1,1210,"PAPAS, FRESCAS O REFRIGERADAS EMPACADAS",,,
122,12,LEGUMINOSAS SECAS Y PELADAS,2008-01-25,,
1220,122,LEGUMINOSAS SECAS Y PELADAS,2008-01-25,,
1220,1220,GUISANTES O ARVEJAS SECAS O PELADAS.,2008-01-25,,
01220.00.1,1220,GUISANTES O ARVEJAS,,,
1220.01,1220,GARBANZOS SECOS Y PELADOS.,2008-01-25,,
01220.01.1,1220.01,GARBANZOS,,,
1220.02,1220,"FRIJOLES SECOS Y PELADOS, EXCEPTO HABAS COMUNES Y HABAS CABALLARE EXCEPTO HABAS COMUNES Y HABAS CABALLARE",2008-01-25,,
1220.03,1220,LENTEJAS SECAS Y PELADAS.,2008-01-25,,
01220.03.1,1220.03,LENTEJAS SECAS Y PELADAS.,,,
1220.04,1220,HABAS SECAS Y PELADAS COMUNES Y HABAS CABALLARES,2008-01-25,,
01220.04.1,1220.04,HABAS,,,
1220.05,1220,FRIJOLES SECOS Y VERDES CON VAINA O DESVAINADOS,,,
01220.05.1,1220.05,"FRIJOLES SECOS Y VERDES EMPACADOS (FREJOL, POROTO, ALUBIA, JUDIA) ",,,
1220.06,1220,HABAS VERDES EMPACADAS,,,
01220.06.1,1220.06,HABAS VERDES,,,
1220.07,1220,GUISANTES O ARVEJAS VERDES,,,
01220.07.1,1220,ARVEJAS VERDES EMPACADAS,,,
1220.09,1220,"OTRAS LEGUMINOSAS SECAS Y PELADAS ESTEN O NO DESCASCARADAS O PARTIDAS: CHOCHOS, HABICHUELAS, ETC.",2008-01-25,,
01220.09.1,1220.09,OTRAS LEGUMINOSAS SECAS Y PELADAS,,,
123,12,OTRAS LEGUMBRES  FRESCAS O REFRIGERADAS,2008-01-25,,
1231,123,ALGARROBAS,2008-01-25,,
1231,1231,"ALGARROBAS ( CON O SIN SEMILLA), FRESCAS O SECAS TRITURADAS O MOLIDAS O NO, PERO SIN MAS PREPARACION",2008-01-25,,
1239,123,"OTRAS  LEGUMBRES,FRESCAS O REFRIGERADAS N.C.P.",2008-01-25,,
1239,1239,TOMATES RINON FRESCOS O REFRIGERADOS.,2008-01-25,,
01239.00.1,1239,TOMATES RINON,,,
1239.1,1239,CEBOLLAS Y CHALOTES FRESCAS O REFRIGERADAS.,2008-01-25,,
01239.10.1,1239.1,CEBOLLAS Y CHALOTES ,,,
1239.11,1239,"AJOS, PUERROS Y OTRAS LEGUMBRES ALIACEAS, FRESCAS O REFRIGERADAS",2008-01-25,,
01239.11.1,1239.11,"AJOS, PUERROS Y OTRAS LEGUMBRES ALIACEAS",,,
1239.12,1239,"COL, COLES DE BRUSELAS Y OTROS REPOLLOS FRESCOS O REFRIGERADOS.",2008-01-25,,
01239.12.1,1239.12,"COL, COLES DE BRUSELAS Y OTROS REPOLLOS",,,
1239.13,1239,COLIFLORES Y BROCOLIS FRESCOS Y REFRIGERADOS.,2008-01-25,,
01239.13.1,1239.13,COLIFLORES Y BROCOLIS,,,
1239.14,1239,"LECHUGAS REPOLLADAS O NO, FRESCAS O REFRIGERADAS: LECHUGA ROMANA, CABEZAS DE LECHUGA.",2008-01-25,,
01239.14.1,1239.14,LECHUGAS REPOLLADAS O NO,,,
1239.15,1239,"ACHICORIAS, COMPRENDIDAS LA ESCAROLA Y LA ENDIBIA.",2008-01-25,,
01239.15.1,1239.15,ACHICORIAS,,,
1239.16,1239,ZANAHORIAS FRESCAS O REFRIGERADAS (EXCEPTO PARA FORRAJE).,2008-01-25,,
01239.16.1,1239.16,ZANAHORIAS,,,
1239.17,1239,NABOS FRESCOS Y REFRIGERADOS.,2008-01-25,,
01239.17.1,1239.17,NABOS,,,
1239.18,1239,REMOLACHAS DE ENSALADA FRESCAS O REFRIGERADAS.,2008-01-25,,
01239.18.1,1239.18,REMOLACHAS DE ENSALADA,,,
1239.2,1239,RABANOS FRESCOS O REFRIGERADOS,2008-08-12,,
1239.21,1239,PEPINOS Y PEPINILLOS FRESCOS O REFRIGERADOS.,2008-01-25,,
01239.21.1,1239.21,PEPINOS Y PEPINILLOS,,,
1239.22,1239,"GUISANTES O ARVEJAS FRESCAS O REFRIGERADAS, EN VAINA O DESVAINADAS.",2008-01-25,,
01239.22.1,1239.22,GUISANTES O ARVEJAS,,,
1239.23,1239,"FRIJOLES FRESCOS O REFRIGERADOS, EN VAINA O DESVAINADOS.",2008-01-25,,
01239.23.1,1239.23,FRIJOL HARICOT,,,
1239.24,1239,"HABAS Y OTRAS LEGUMBRES FRESCAS O REFRIGERADAS, EN VAINA O DESVAINADAS.",2008-01-25,,
01239.24.1,1239.24,"HABAS Y OTRAS LEGUMBRES FRESCAS O REFRIGERADAS, EN VAINA O DESVAINADAS.",,,
1239.25,1239,CHAMPINONES Y TRUFAS FRESCOS O REFRIGERADOS.,2008-01-25,,
01239.25.1,1239.25,CHAMPINONES Y TRUFAS ,,,
1239.26,1239,ALCACHOFAS FRESCAS Y REFRIGERADAS.,2008-01-25,,
01239.26.1,1239.26,ALCACHOFAS,,,
1239.27,1239,ESPARRAGOS FRESCOS O REFRIGERADOS.,2008-01-25,,
01239.27.1,1239.27,ESPARRAGOS ,,,
1239.28,1239,BERENJENAS FRESCAS O REFRIGERADAS.,2008-01-25,,
01239.28.1,1239.28,BERENJENAS ,,,
1239.3,1239,APIOS FRESCOS O REFRIGERADOS.,2008-01-25,,
01239.30.1,1239.3,APIOS ,,,
1239.31,1239,"PIMIENTOS, PIMIENTA Y OTROS DEL GENERO CAPSICUM, FRESCOS O REFRIGERADOS.",2008-01-25,,
01239.31.1,1239.31,"PIMIENTOS, PIMIENTA Y OTROS DEL GENERO CAPSICUM",,,
1239.32,1239,"ESPINACAS, ACELGAS, BERROS FRESCOS O REFRIGERADOS.",2008-01-25,,
01239.32.1,1239.32,"ESPINACAS, ACELGAS, BERROS",,,
1239.33,1239,ACEITUNAS FRESCAS O REFRIGERADAS.,2008-01-25,,
01239.33.1,1239.33,ACEITUNAS FRESCAS O REFRIGERADAS.,,,
1239.34,1239,"CALABAZAS (ZAPALLO), CALABACIN, SUQUINI, SAMBOS, FRESCOS O REFRIGERADOS.",2008-01-25,,
01239.34.1,1239.34,"CALABAZAS (ZAPALLO), CALABACIN, SUQUINI, SAMBOS",,,
1239.35,1239,MAIZ DULCE (CHOCLO) FRESCO O REFRIGERADO.,2008-01-25,,
01239.35.1,1239.35,MAIZ DULCE (CHOCLO),,,
1239.39,1239,"OTRAS LEGUMBRES Y HORTALIZAS, FRESCAS O REFRIGERADAS: AJIES, PEREJIL, MEJORANA, ETC.",2008-01-25,,
01239.39.1,1239.39,OTRAS LEGUMBRES Y HORTALIZAS,,,
124,12,RAICES Y TUBERCULOS COMESTIBLES RICOS EN ALMIDON O INULINA,2008-01-25,,
1240,124,RAICES Y TUBERCULOS COMESTIBLES RICOS EN ALMIDON O INULINA,2008-01-25,,
1240,1240,MANDIOCA (YUCA) EN TUBERCULO FRESCO.,2008-01-25,,
01240.00.1,1240,MANDIOCA (YUCA) EN TUBERCULO,,,
1240.01,1240,CAMOTE (BATATA) EN TUBERCULO FRESCO.,2008-01-25,,
01240.01.1,1240.01,CAMOTE (BATATA) EN TUBERCULO,,,
1240.09,1240,"OTRAS RAICES Y TUBERCULOS RICOS EN ALMIDON O INULINA: MELLOCOS, OCAS, ZANAHORIA BLANCA, ARRURRUZ, SALEP, TOPINAMBUR, ETC.",2008-01-25,,
01240.09.1,1240.09,OTRAS RAICES Y TUBERCULOS,,,
13,1,FRUTAS Y NUECES,2008-01-23,,
131,13,DATILES  HIGOS  BANANOS  COCOS  NUECES DEL BRASIL ( CASTANAS DE PARA)   ANANAS (PINA TROPICAL)  AGUACATES  MANGOS  GUAYABAS  Y MANGOSTANES  FRESCOS O SECOS,2008-01-25,,
1310,131,"DATILES, HIGOS, BANANOS, COCOS, NUECES DEL BRASIL ( CASTANAS DE PARA) , ANANAS (PINA TROPICAL), AGUACATES, MANGOS, GUAYABAS, Y MANGOSTANES, FRESCOS O SECOS",2008-01-25,,
1310,1310,BANANAS (INCLUSO PLATANOS ) FRESCAS O SECAS.,2008-01-25,,
01310.00.1,1310,BANANAS (INCLUSO PLATANOS ),,,
1310.1,1310,HIGOS FRESCOS O SECOS.,2008-01-25,,
01310.10.1,1310.1,HIGOS,,,
1310.2,1310,COCOS FRESCOS O SECOS.,2008-01-25,,
01310.20.1,1310.2,COCOS ,,,
1310.21,1310,"NUECES DEL BRASIL (CASTANAS DE PARA) FRESCOS O SECOS, CON CASCARA O SIN ELLA.",2008-01-25,,
01310.21.1,1310.21,NUECES DEL BRASIL (CASTAÑAS),,,
1310.22,1310,"ANACARDOS ( NUECES DE ACAJU) FRESCOS O SECOS, CON CASCARA O SIN ELLA.",2008-01-25,,
01310.22.1,1310.22,ANACARDOS ( NUECES DE ACAJU),,,
1310.3,1310,PINAS (ANANA) FRESCAS O SECAS.,2008-01-25,,
01310.30.1,1310.3,PINAS (ANANA),,,
1310.31,1310,DATILES FRESCOS O SECOS.,2008-01-25,,
01310.31.1,1310.31,DATILES (PEPA DE PALMA),,,
1310.32,1310,AGUACATES O PALTAS FRESCOS.,2008-01-25,,
01310.32.1,1310.32,AGUACATES O PALTAS,,,
1310.33,1310,"GUAYABAS, MANGOS Y MANGOSTANES FRESCOS O SECOS.",2008-01-25,,
01310.33.1,1310.33,"GUAYABAS, MANGOS Y MANGOSTANES",,,
132,13,FRUTAS CITRICAS  FRESCAS O SECAS,2008-01-25,,
1320,132,"FRUTAS CITRICAS, FRESCAS O SECAS",2008-01-25,,
1320,1320,NARANJAS FRESCAS O SECAS.,2008-01-25,,
01320.00.1,1320,NARANJAS ,,,
1320.01,1320,"MANDARINAS (INCLUSO TANGERINAS Y SATSUMAS), CLEMENTINAS, WILKINGS E HIBRIDOS SIMILARES DE CITRICOS,  FRESCOS O SECOS.",2008-01-25,,
01320.01.1,1320.01,"MANDARINAS , CLEMENTINAS, WILKINGS E HIBRIDOS SIMILARES DE CITRICOS",,,
1320.1,1320,LIMONES Y LIMAS FRESCOS O SECOS.,2008-01-25,,
01320.10.1,1320.1,LIMONES Y LIMAS ,,,
1320.11,1320,POMELOS (TORONJAS) FRESCOS O SECOS.,2008-01-25,,
01320.11.1,1320.11,POMELOS (TORONJAS),,,
1320.19,1320,"FRUTAS CITRICAS N.C.P., FRESCAS O SECAS.",2008-01-25,,
01320.19.1,1320.19,FRUTAS CITRICAS N.C.P.,,,
133,13,UVAS  FRESCAS,2008-01-25,,
1330,133,"UVAS, FRESCAS",2008-01-25,,
1330,1330,UVAS FRESCAS.,2008-01-25,,
01330.00.1,1330,UVAS,,,
1330.01,1330,UVAS SECAS (PASAS),2008-01-25,,
01330.01.1,1330.01,UVAS SECAS,,,
134,13,"OTRAS FRUTAS, FRESCAS",2008-01-25,,
1340,134,"OTRAS FRUTAS, FRESCAS",2008-01-25,,
1341,134,"MELONES , SANDIAS Y PAPAYAS FRESCOS",2008-01-25,,
1341,1341,"MELONES, FRESCOS",2008-01-25,,
01341.00.1,1341,MELONES,,,
1341.01,1341,"PAPAYAS, FRESCAS",2008-01-25,,
01341.01.1,1341.01,PAPAYAS,,,
1341.02,1341,"SANDIAS, FRESCAS",2008-01-25,,
01341.02.1,1341.02,SANDIAS,,,
1349,134,"OTRAS FRUTAS, FRESCAS N.C.P.",2008-01-25,,
1349,1349,MANZANAS FRESCAS.,2008-01-25,,
01349.00.1,1349,MANZANAS,,,
1349.1,1349,PERAS Y MEMBRILLOS FRESCOS.,2008-01-25,,
01349.10.1,1349.1,PERAS Y MEMBRILLOS,,,
1349.11,1349,ALBARICOQUES FRESCOS.,2008-01-25,,
01349.11.1,1349.11,ALBARICOQUES,,,
1349.12,1349,"CEREZAS, CAPULIES FRESCOS.",2008-01-25,,
01349.12.1,1349.12,CEREZAS,,,
1349.13,1349,"DURAZNOS O MELOCOTONES, INCLUSO NECTARINAS FRESCOS.",2008-01-25,,
01349.13.1,1349.13,DURAZNOS O MELOCOTONES,,,
1349.14,1349,"CIRUELAS, CLAUDIAS, MIRABELES, FRESCOS.",2008-01-25,,
01349.14.1,1349.14,"CIRUELAS, CLAUDIAS, MIRABELES",,,
1349.15,1349,BAYAS FRESCAS,2008-01-25,,
01349.15.1,1349.15,BAYAS FRESCAS,,,
1349.16,1349,FRUTILLAS  (FRESAS) FRESCAS.,2008-01-25,,
01349.16.1,1349.16,FRUTILLAS  (FRESAS),,,
1349.17,1349,"FRAMBUESAS, ZARZAMORAS, MORAS, FRESCAS.",2008-01-25,,
01349.17.1,1349.17,"FRAMBUESAS, ZARZAMORAS, MORAS",,,
1349.18,1349,GROSELLAS FRESCAS.,2008-01-25,,
01349.18.1,1349.18,GROSELLAS FRESCAS.,,,
1349.2,1349,"MARACUYA, GRANADILLA, ETC., FRESCOS.",2008-01-25,,
01349.20.1,1349.2,"MARACUYA, GRANADILLA",,,
1349.21,1349,"CHIRIMOYAS, GUANABANAS Y DEMAS ANONAS, FRESCAS.",2008-01-25,,
01349.21.1,1349.21,"CHIRIMOYAS, GUANABANAS Y DEMAS ANONAS",,,
1349.22,1349,TOMATES DE ARBOL FRESCOS.,2008-01-25,,
01349.22.1,1349.22,TOMATES DE ARBOL,,,
1349.29,1349,"OTRAS FRUTAS FRESCAS: KIWIS, BABACOS, NARANJILLA, UVILLAS, TUNAS, TAXO, GUABA, NISPEROS, ZAPOTE, PITAHAYAS, ARANDANOS ROJOS, MIRTILOS,  ETC.",2008-01-25,,
01349.29.1,1349.29,OTRAS FRUTAS,,,
135,13,OTRAS FRUTAS  SECAS,2008-01-25,,
1350,135,"OTRAS FRUTAS, SECAS",2008-01-25,,
1350,1350,UVAS SECAS (PASAS),2008-01-25,,
01350.00.1,1350,UVAS SECAS (PASAS),,,
1350.1,1350,"ALBARICOQUES, CIRUELAS, MANZANAS, SECAS.",2008-01-25,,
01350.10.1,1350.1,"ALBARICOQUES, CIRUELAS, MANZANAS, SECAS.",,,
1350.11,1350,"LAS DEMAS FRUTAS U OTROS FRUTOS SECOS: PERAS, DURAZNOS, CAPSULAS DE TAMARINDO O PULPA DE TAMARINDO SIN ADICION DE AZUCAR.",2008-01-25,,
01350.11.1,1350.11,FRUTAS SECAS,,,
1350.12,1350,"MEZCLAS DE FRUTAS O NUECES, SECAS.",2008-01-25,,
01350.12.1,1350.12,"MEZCLAS DE FRUTAS O NUECES, SECAS.",,,
136,13,OTRAS NUECES  FRESCAS O SECAS  CON CASCARA O SIN ELLA,2008-01-25,,
1360,136,"OTRAS NUECES, FRESCAS O SECAS, CON CASCARA O SIN ELLA",2008-01-25,,
1360,1360,"ALMENDRAS FRESCAS O SECAS, CON CASCARA O SIN  ELLA.",2008-01-25,,
01360.00.1,1360,"ALMENDRAS FRESCAS O SECAS, CON CASCARA O SIN  ELLA.",,,
1360.01,1360,AVELLANAS FRESCAS O SECAS CON CASCARA O SIN ELLA,2008-01-25,,
01360.01.1,1360.01,AVELLANAS FRESCAS O SECAS CON CASCARA O SIN ELLA,,,
1360.02,1360,"NUECES FRESCAS O SECAS, CON CASCARA O SIN ELLA.",2008-01-25,,
01360.02.1,1360.02,"NUECES FRESCAS O SECAS, CON CASCARA O SIN ELLA.",,,
1360.03,1360,"CASTANAS FRESCAS O SECAS, CON CASCARA O SIN ELLA",2008-01-25,,
01360.03.1,1360.03,"CASTANAS FRESCAS O SECAS, CON CASCARA O SIN ELLA",,,
1360.04,1360,"PISTACHOS (ALFONCIGOS) FRESCOS O SECOS, CON CASCARA O SIN ELLA",2008-01-25,,
01360.04.1,1360.04,"PISTACHOS (ALFONCIGOS) FRESCOS O SECOS, CON CASCARA O SIN ELLA",,,
1360.09,1360,"OTRAS NUECES O FRUTOS CON CASCARA (COMESTIBLES), EXCEPTO LAS MEZCLAS, FRESCAS O SECAS, CON CASCARA O SIN ELLA, N.C.P.",2008-01-25,,
14,1,SEMILLAS DE ACEITE Y FRUTOS OLEAGINOSOS,2008-01-23,,
141,14,SOYA (SOJA),2008-01-25,,
1410,141,SOYA (SOJA),2008-01-25,,
1410,1410,SOYA (SOJA),2008-01-25,,
01410.00.1,1410,SOYA (SOJA),,,
1410.01,1410,OTRA SOYA (SOJA),2008-01-25,,
142,14,CACAHUETES (MANIES),2008-01-25,,
1420,142,CACAHUETES (MANIES),2008-01-25,,
1420,1420,"CACAHUETES (MANIES), SIN TOSTAR NI SOMETER A OTRO TIPO DE COCCION, CON CASCARA",2008-01-25,,
01420.00.1,1420,"CACAHUETES (MANIES), SIN TOSTAR NI SOMETER A OTRO TIPO DE COCCION, CON CASCARA",,,
1420.01,1420,"CACAHUETES (MANIES), SIN TOSTAR NI SOMETER A OTRO TIPO DE COCCION, DESCACARADOS",2008-01-25,,
01420.01.1,1420.01,"CACAHUETES (MANIES), SIN TOSTAR NI SOMETER A OTRO TIPO DE COCCION, DESCACARADOS",,,
143,14,SEMILLAS DE GIRASOL  SESAMO (AJONJOLI)  CARTAMO  COLZA Y MOSTAZA,2008-01-25,,
1430,143,"SEMILAS DE GIRASOL, SESAMO (AJONJOLI), CARTAMO, COLZA Y MOSTAZA",2008-01-25,,
1430,1430,SEMILLAS DE GIRASOL,2008-01-25,,
01430.00.1,1430,SEMILLAS DE GIRASOL VARIEDAD HIBRIDA,,,
01430.00.2,1430,SEMILLAS DE GIRASOL VARIEDAD PURA,,,
1430.1,1430,SEMILLAS DE SESAMO (AJONJOLI),2008-01-25,,
01430.10.1,1430.1,SEMILLAS DE AJONJOLI VARIEDAD HIBRIDA,,,
01430.10.2,1430.1,SEMILLAS DE AJONJOLI VARIEDAD PURA,,,
1430.11,1430,OTRAS SEMILLAS DE SESAMO (AJONJOLI),2008-01-25,,
1430.2,1430,SEMILLAS DE COLZA,2008-01-25,,
01430.20.1,1430.2,SEMILLAS DE COLZA,,,
1430.21,1430,OTRAS SEMILLAS DE COLZA,2008-01-25,,
1430.22,1430,SEMILLAS DE MOSTAZA,2008-01-25,,
01430.22.1,1430.22,SEMILLAS DE MOSTAZA,,,
1430.23,1430,OTRAS SEMILLAS DE MOSTAZA,2008-01-25,,
1430.3,1430,SEMILLAS DE CARTAMO,2008-01-25,,
01430.30.1,1430.3,SEMILLAS DE CARTAMO,,,
144,14,SEMILLAS DE ALGODON,2008-01-25,,
1440,144,SEMILLAS DE ALGODON,2008-01-25,,
1440,1440,SEMILLAS DE ALGODON,2008-01-25,,
01440.00.1,1440,SEMILLAS DE ALGODON VARIEDAD HIBRIDA,,,
01440.00.2,1440,SEMILLAS DE ALGODON VARIEDAD PURA,,,
1440.01,1440,OTRAS SEMILLAS DE ALGODON,2008-01-25,,
149,14,SEMILLAS OLEAGINOSAS DE ACEITE N.C.P. Y FRUTOS OLEAGINOSOS,2008-01-25,,
1490,149,SEMILLAS OLEAGINOSAS DE ACEITE N.C.P. Y FRUTOS OLEAGINOSOS,2008-01-25,,
1490,1490,SEMILLAS COPRA (COCOTERO) ,2008-01-25,,
01490.00.1,1490,SEMILLAS COPRA (COCOTERO) ,,,
1490.1,1490,SEMILLAS NUECES Y ALMENDRAS DE PALMA,2008-01-25,,
01490.10.1,1490.1,SEMILLAS NUECES Y ALMENDRAS DE PALMA,,,
1490.11,1490,OTRAS SEMILLAS NUECES Y ALMENDRAS DE PALMA,2008-01-25,,
1490.2,1490,SEMILLAS DE LINAZA,2008-01-25,,
01490.20.1,1490.2,SEMILLAS DE LINAZA,,,
1490.3,1490,SEMILLAS DE RICINO ,2008-01-25,,
01490.30.1,1490.3,SEMILLAS DE RICINO ,,,
1490.31,1490,OTRAS SEMILLAS DE RICINO ,2008-01-25,,
1490.9,1490,"SEMILLAS Y FRUTOS OLEAGINOSOS ACEITOSAS, N.C.P.: SEMILLA DE AMAPOLA (ADORMIDERA), KARITE, ETC.",2008-01-25,,
01490.90.1,1490.9,SEMILLAS DE FRUTOS OLEAGINOSOS VARIEDAD HIBRIDO(A),,,
01490.90.2,1490.9,SEMILLAS DE FRUTOS OLEAGINOSOS VARIEDAD PURA,,,
1490.91,1490,"OTRAS SEMILLAS Y FRUTOS OLEAGINOSOS ACEITOSAS, N.C.P.: SEMILLA DE AMAPOLA (ADORMIDERA), KARITE, ETC.",2008-01-25,,
15,1,PLANTAS VIVAS; FLORES Y CAPULLOS CORTADOS; SEMILLAS DE FLORES Y FRUTOS; SEMILLAS DE VEGETALES,2008-01-23,,
151,15,PLANTAS VIVAS; BULBOS  TUBERCULOS Y RAICES; ESTACAS Y ESQUEJES; ESPORAS DE HONGOS,2008-01-25,,
1510,151,"PLANTAS VIVAS; BULBOS, TUBERCULOS Y RAICES; ESTACAS Y ESQUEJES; ESPORAS DE HONGOS",2008-01-25,,
1510,1510,"BULBOS, TUBERCULOS Y RAICES TUBEROSAS, CEBOLLAS, BROTES Y RIZOMAS, EN REPOSO VEGETATIVO, EN CRECIMIENTO O EN FLOR, PLANTAS Y RAICES DE ACHICORIA",2008-01-25,,
01510.00.1,1510,"BULBOS, TUBERCULOS Y RAICES TUBEROSAS, CEBOLLAS, BROTES Y RIZOMAS, EN REPOSO VEGETATIVO, EN CRECIMIENTO O EN FLOR, PLANTAS Y RAICES DE ACHICORIA",,,
1510.01,1510,"OTRAS PLANTAS  (INCLUSO SUS RAICES), ESTACAS Y ESQUEJES, VIVOS; ESPORAS DE HONGOS ",2008-01-25,,
01510.01.1,1510.01,"OTRAS PLANTAS  (INCLUSO SUS RAICES), ESTACAS Y ESQUEJES, VIVOS; ESPORAS DE HONGOS ",,,
1510.02,1510,"ARBOLES, ARBUSTOS, MATAS DE ADORNO, VIVAS, RETONOS DE PLANTAS VIVOS, ESQUEJES DE ARBOLES FRUTALES, INJERTADOS O ARRAIGADOS O NO, ESTACAS DE  ARBOLES FRUTALES",2008-01-25,,
01510.02.1,1510.02,ARBOLES NO FRUTALES VIVOS,,,
01510.02.2,1510.02,ARBOLES FRUTALES VIVOS,,,
1510.03,1510,"PLANTAS ORNAMENTALES: RODODENDROS, AZALEAS, ROSALES, INCLUSO INJERTADOS",2008-01-25,,
01510.03.1,1510.03,"PLANTAS ORNAMENTALES: RODODENDROS, AZALEAS, ROSALES, INCLUSO INJERTADOS",,,
1510.09,1510,OTRAS PLANTAS (INCLUSO SUS RAICES); ESPORAS DE HONGOS,2008-01-25,,
01510.09.1,1510.09,"PLANTAS MERISTEMATICAS (SEMILLAS BIOTECNOLOGICAS): BANANO, PLATANO, CAÑA DE AZUCAR, HORNAMENTALES Y ",2008-11-05,,
152,15,FLORES Y CAPULLOS CORTADOS  INCLUSO RAMILLETES  CORONAS  ARREGLOS FLORALES Y ARTICULOS SIMILARES,2008-01-25,,
1520,152,"FLORES Y CAPULLOS CORTADOS, INCLUSO RAMILLETES, CORONAS, ARREGLOS FLORALES Y ARTICULOS SIMILARES",2008-01-25,,
1520,1520,"FLORES Y CAPULLOS CORTADOS DEL TIPO ADECUADO PARA RAMILLETES O ADORNOS, FRESCOS, SECOS, TENIDOS, BLANQUEADOS, IMPREGNADOS O PREPARADOS DE OTRA FORMA",2008-01-25,,
01520.00.1,1520,FLORES FRESCAS CORTADAS Y EMPACADAS,,,
1520.01,1520,"CESTAS DE FLORES, CON FLORES O CAPULLOS, CORONAS DE FLORERIA",2008-01-25,,
01520.01.1,1520.01,"CESTAS DE FLORES, CON FLORES O CAPULLOS, CORONAS DE FLORERIA",,,
153,15,SEMILLAS DE FLORES Y FRUTOS,2008-01-25,,
1530,153,SEMILLAS DE FLORES Y FRUTOS,2008-01-25,,
1530,1530,SEMILLAS  DE  PLANTAS  HERBACEAS  CULTIVADAS  PRINCIPALMENTE  POR SUS  FLORES,2008-01-25,,
01530.00.1,1530,SEMILLAS  DE  FLORES ORNAMENTALES,,,
1530.01,1530,"SEMILLAS DE FRUTOS Y ESPORAS N.C.P.:SEMILLAS DE ARBOLES FRUTALES O FORESTALES, DE TABACO, ETC.",2008-01-25,,
